
Name                                                                            Value
Microsoft.Azure.FileServer.Edp.FileServerIaaS                                   1.0.0.1
Microsoft.Azure.FleetDiagnostics.FleetDiagnosticsForLinux                       2.19.62023
Microsoft.Azure.FleetDiagnostics.FleetDiagnosticsForWindows                     3.0.3002
Microsoft.Azure.Geneva.GenevaMonitoring                                         2.57.0.2
Microsoft.Azure.Geneva.GenevaMonitoringARM64                                    2.54.0.4
Microsoft.Azure.Geneva.GenevaMonitoringTest                                     2.63.0.11
Microsoft.Azure.HardwareHealthService.AzureHardwareHealthExtensionForLinux      1.0.2.8
Microsoft.Azure.HardwareHealthService.AzureHardwareHealthExtensionForWindows    1.0.0.5
Microsoft.Azure.HybridFabric.HybridFabricAgentForWindows                        1.0.0
Microsoft.Azure.KeyVault.Edp.KeyVaultForLinux                                   1.0.1265.21
Microsoft.Azure.KeyVault.Edp.KeyVaultForWindows                                 1.0.1257.24
Microsoft.Azure.KeyVault.KeyVaultForLinux                                       3.5.3041.185
Microsoft.Azure.KeyVault.KeyVaultForWindows                                     4.0.3316.272
Microsoft.Azure.LabServices.Agent.Linux                                         1.0.1.56
Microsoft.Azure.LabServices.Agent.Windows                                       1.0.1.53
Microsoft.Azure.Migrate.AzureMigrateCollectorForLinux                           1.0.0.15
Microsoft.Azure.Migrate.AzureMigrateCollectorForWindows                         1.0.0.15
Microsoft.Azure.Monitor.Agent.AzureMonitoring                                   1.0.4.1
Microsoft.Azure.Monitor.AzureMonitorLinuxAgent                                  1.40.0
Microsoft.Azure.Monitor.AzureMonitorWindowsAgent                                1.41.0.0
Microsoft.Azure.Monitor.VirtualMachines.GuestHealth.GuestHealthLinuxAgent       1.0.54
Microsoft.Azure.Monitor.VirtualMachines.GuestHealth.GuestHealthWindowsAgent     1.0.54
Microsoft.Azure.Monitor.Workloads.Dev.Workload.WLILinuxExtension                0.2.10
Microsoft.Azure.Monitor.Workloads.Workload.WLILinuxExtension                    0.4.20
Microsoft.Azure.Monitoring.DependencyAgent.DependencyAgentLinux                 9.10.18.4770
Microsoft.Azure.Monitoring.DependencyAgent.DependencyAgentWindows               9.10.18.4770
Microsoft.Azure.Networking.DNS.Dev.DNSClientCache                               1.17
Microsoft.Azure.Networking.DNS.Dev.DNSServeStale                                2.13
Microsoft.Azure.Networking.DNS.DNSClientCache                                   1.7.0
Microsoft.Azure.Networking.SDN.Aquarius                                         5.0.0.0
Microsoft.Azure.Networking.SDN.AquariusLinux                                    1.6.0.0
Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux                         1.4.3783.1
Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentWindows                       1.4.3783.1
Microsoft.Azure.OpenSSH.WindowsOpenSSH                                          3.0.1.0
Microsoft.Azure.OSTelemetry.OSTelemetryForWindows                               1.1.16
Microsoft.Azure.Performance.Diagnostics.AzurePerformanceDiagnostics             1.0.41
Microsoft.Azure.Performance.Diagnostics.AzurePerformanceDiagnosticsLinux        1.1.50
Microsoft.Azure.RecoveryServices.Edp.VMSnapshot                                 1.0.39.0
Microsoft.Azure.RecoveryServices.Edp.VMSnapshotLinux                            1.0.9151.0
Microsoft.Azure.RecoveryServices.SiteRecovery.Linux                             1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxOL6                          1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxOL7                          1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxRHEL6                        1.0.0.9258
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxRHEL7                        1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxSLES11SP3                    1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxSLES11SP4                    1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxUBUNTU1404                   1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.LinuxUBUNTU1604                   1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.SiteRecovery                      0.0.0.0
Microsoft.Azure.RecoveryServices.SiteRecovery.SiteRecoveryLinux                 0.0.0.1
Microsoft.Azure.RecoveryServices.SiteRecovery.Windows                           1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN10                    1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN11                    1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN12                    1.0.0.9262
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN7                     1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxDEBIAN8                     1.0.0.9256
