
name                                     publisher                                                   version
LinuxRHEL7                               Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
DSMSForWindows                           Microsoft.Azure.Security.Dsms.Edp                           3.15.1580.0
LinuxRHEL8                               Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
LinuxRHEL9                               Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
LinuxSLES11SP3                           Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
LinuxSLES11SP4                           Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
ConfigurationForLinux                    Microsoft.GuestConfiguration                                1.26.104
LinuxSLES12                              Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
ConfigurationforWindows                  Microsoft.GuestConfiguration                                1.29.104.0
LinuxOsUpdateExtension                   Microsoft.SoftwareUpdateManagement.Test                     2.10.6.0
WindowsOsUpdateExtension                 Microsoft.SoftwareUpdateManagement.Test                     2.11.7.0
LinuxSLES15                              Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
WinOsUpdateExtension                     Microsoft.SoftwareUpdateManagement.Test                     2.3.0.0
ADAssessmentPlus                         Microsoft.ServicesHub                                       1.7
LinuxUBUNTU1404                          Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
ADSecurityAssessment                     Microsoft.ServicesHub                                       1.8
AssessmentPlatform                       Microsoft.ServicesHub                                       4.9
IaaSDiagnostics                          StatusReport.Diagnostics.Test                               0.27.0.0
LinuxUBUNTU1604                          Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
AzureAssessment                          Microsoft.ServicesHub                                       1.14
LinuxUBUNTU1804                          Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
ExchangeAssessment                       Microsoft.ServicesHub                                       1.7
ExchangeOnlineAssessment                 Microsoft.ServicesHub                                       1.13
newrelic-infra                           NewRelic.Infrastructure.Extensions                          1.2.15
LinuxUBUNTU2004                          Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
SCCMAssessmentPlus                       Microsoft.ServicesHub                                       1.9
newrelic-infra-windows                   NewRelic.Infrastructure.Extensions                          1.4.12
SCOMAssessmentPlus                       Microsoft.ServicesHub                                       1.7
LinuxUBUNTU2204                          Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
SFBAssessment                            Microsoft.ServicesHub                                       1.8
SFBAssessmentPlus                        Microsoft.ServicesHub                                       1.2
LinuxUBUNTU2404                          Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
Ubuntu1804                               Microsoft.Azure.SiteRecovery.Stage                          1.0.0.109
SharepointOnlineAssessment               Microsoft.ServicesHub                                       1.12
Windows                                  Microsoft.Azure.SiteRecovery.Stage                          1.0.26.11
SPAssessment                             Microsoft.ServicesHub                                       1.7
AzurePerformanceDiagnostics              Microsoft.Azure.Performance.Diagnostics                     1.0.41
SQLAssessmentPlus                        Microsoft.ServicesHub                                       1.8
AzurePerformanceDiagnosticsLinux         Microsoft.Azure.Performance.Diagnostics                     1.1.50
WindowsClientAssessmentPlus              Microsoft.ServicesHub                                       1.6
WindowsServerAssessment                  Microsoft.ServicesHub                                       1.9
EvNullWindows                            Microsoft.OSTCExtensions.Testing                            1.0.0
AksArcBareMetalAgent                     Microsoft.AksArcForLinux                                    1.0.1
KeyVaultForLinux                         Microsoft.Azure.KeyVault                                    3.5.3041.185
AlertLogicLM                             AlertLogic.Extension                                        1.9.1.0
KeyVaultForWindows                       Microsoft.Azure.KeyVault                                    4.0.3316.272
WorkloadBackup                           Microsoft.CloudBackup.Workload.Extension                    1.1.0.18
WorkloadBackupLinux                      Microsoft.CloudBackup.Workload.Extension                    1.0.0.19
MicrosoftMonitoringAgent                 Microsoft.EnterpriseCloud.Monitoring                        1.0.18076.0
OmsAgentForLinux                         Microsoft.EnterpriseCloud.Monitoring                        1.19.0
AzureBackupLinuxWorkload                 Microsoft.Azure.RecoveryServices.WorkloadBackup             3.0.0.1
AzureBackupWindowsWorkload               Microsoft.Azure.RecoveryServices.WorkloadBackup             1.1.0.125
WorkloadDiagnosticLinux                  Microsoft.Azure.RecoveryServices.WorkloadBackup             1.4.0.0
SCWPAgentForLinuxTestOnStage             Symantec.CloudWorkloadProtection.TestOnStage                3.7.0.0
SCWPAgentForWindowsTestOnStage           Symantec.CloudWorkloadProtection.TestOnStage                1.8.0.0
HybridWorkerForWindows                   Microsoft.Azure.Automation.HybridWorker.Test                2.0.4
WindowsExtension                         SentinelOne.WindowsExtension.Test                           1.4.16
DSMSForWindows                           Microsoft.Azure.Security.Dsms                               4.8.3216369
AntimalwareConfiguration                 Microsoft.Azure.Security.AntimalwareSignature.Edp           1.1.0.10
ChefClient                               Chef.Bootstrap.WindowsAzure                                 1210.14.1.2
